--------------------------------------------------------------------------
[[62852,1],1]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: node06

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------


 NAS Parallel Benchmarks 3.4 -- CG Benchmark

 Size:      75000  (class B)
 Iterations:    75
 Number of processes:     8
 Number of nonzeroes per row:       13
 Eigenvalue shift:    60.000
[MO833] Paramount Iteration,1,1,0.642682,0.129585
[MO833] Paramount Iteration,2,1,0.637308,0.129592
[MO833] Paramount Iteration,3,1,0.637113,0.129589
[MO833] Paramount Iteration,4,1,0.634182,0.129590
[MO833] Paramount Iteration,5,1,0.632803,0.129587
[MO833] Paramount Iteration,6,1,0.629972,0.129591
[MO833] Paramount Iteration,7,1,0.627683,0.129588

   iteration           ||r||                 zeta
        1       0.16899786290134E-12    59.9994751578754
[MO833] Paramount Iteration,0,1,0.643510,0.129672
[MO833] Paramount Iteration,7,2,0.757096,0.129413
[MO833] Paramount Iteration,1,2,0.772098,0.129416
[MO833] Paramount Iteration,2,2,0.766719,0.129411
[MO833] Paramount Iteration,3,2,0.766524,0.129411
[MO833] Paramount Iteration,4,2,0.763595,0.129413
[MO833] Paramount Iteration,5,2,0.762216,0.129413
[MO833] Paramount Iteration,6,2,0.759384,0.129412
        2       0.67323895111088E-15    21.7627846142538
[MO833] Paramount Iteration,0,2,0.772886,0.129376
[MO833] Paramount Iteration,6,3,0.888894,0.129510
[MO833] Paramount Iteration,7,3,0.886605,0.129509
[MO833] Paramount Iteration,1,3,0.901607,0.129509
[MO833] Paramount Iteration,2,3,0.896229,0.129510
[MO833] Paramount Iteration,3,3,0.896034,0.129510
[MO833] Paramount Iteration,4,3,0.893105,0.129510
[MO833] Paramount Iteration,5,3,0.891726,0.129510
        3       0.71924971917167E-15    22.2876617043225
[MO833] Paramount Iteration,0,3,0.902385,0.129499
[MO833] Paramount Iteration,5,4,1.021136,0.129410
[MO833] Paramount Iteration,6,4,1.018304,0.129410
[MO833] Paramount Iteration,7,4,1.016015,0.129410
[MO833] Paramount Iteration,1,4,1.031019,0.129412
