--------------------------------------------------------------------------
[[46787,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: node06

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------


 NAS Parallel Benchmarks 3.4 -- CG Benchmark

 Size:      75000  (class B)
 Iterations:    75
 Number of processes:     8
 Number of nonzeroes per row:       13
 Eigenvalue shift:    60.000
[MO833] Paramount Iteration,1,1,0.667924,0.129472
[MO833] Paramount Iteration,2,1,0.664215,0.129474
[MO833] Paramount Iteration,3,1,0.662233,0.129472
[MO833] Paramount Iteration,4,1,0.659830,0.129477
[MO833] Paramount Iteration,5,1,0.658239,0.129475
[MO833] Paramount Iteration,6,1,0.656767,0.129476
[MO833] Paramount Iteration,7,1,0.654251,0.129474

   iteration           ||r||                 zeta
        1       0.16899786290134E-12    59.9994751578754
[MO833] Paramount Iteration,0,1,0.670246,0.129553
[MO833] Paramount Iteration,7,2,0.783627,0.129376
[MO833] Paramount Iteration,1,2,0.797301,0.129377
[MO833] Paramount Iteration,2,2,0.793592,0.129377
[MO833] Paramount Iteration,3,2,0.791610,0.129377
[MO833] Paramount Iteration,4,2,0.789206,0.129376
[MO833] Paramount Iteration,5,2,0.787614,0.129375
[MO833] Paramount Iteration,6,2,0.786143,0.129376
        2       0.67323895111088E-15    21.7627846142538
[MO833] Paramount Iteration,0,2,0.799583,0.129337
[MO833] Paramount Iteration,6,3,0.915459,0.129316
[MO833] Paramount Iteration,7,3,0.912944,0.129317
[MO833] Paramount Iteration,1,3,0.926619,0.129318
[MO833] Paramount Iteration,2,3,0.922910,0.129318
[MO833] Paramount Iteration,3,3,0.920928,0.129318
[MO833] Paramount Iteration,4,3,0.918521,0.129315
[MO833] Paramount Iteration,5,3,0.916931,0.129317
        3       0.71924971917167E-15    22.2876617043225
[MO833] Paramount Iteration,0,3,0.928896,0.129313
[MO833] Paramount Iteration,5,4,1.046167,0.129236
[MO833] Paramount Iteration,6,4,1.044696,0.129237
[MO833] Paramount Iteration,7,4,1.042180,0.129236
[MO833] Paramount Iteration,1,4,1.055857,0.129238
